"Year","Nat.Elec.Rate","Rural.Elec.Rate","Urban.Elec.Rate","country"
" 2004"," 9.08","0.81"," 23.18","Congo Dem Rep"
" 2005"," 6"," 0.75"," 30","Congo Dem Rep"
" 2006"," 10.3","0.71"," 25.97","Congo Dem Rep"
" 2007"," 15.2"," 1.1","36.6","Congo Dem Rep"
" 2008","11.56","0.71"," 28.57","Congo Dem Rep"
" 2009"," 12.2","0.74","29.8","Congo Dem Rep"
" 2010","12.85","0.78"," 31","Congo Dem Rep"
" 2011","13.51","0.84"," 32.16","Congo Dem Rep"
" 2012","15.4"," 1","40.8","Congo Dem Rep"
" 2013"," 14.83"," 0.97","34.39","Congo Dem Rep"
" 2014","13.5","0.4","42","Congo Dem Rep"
" 1990","17.73"," 18.86"," 0","Congo Rep"
" 1991","18.85"," 18.55"," 0","Congo Rep"
" 1992","19.97"," 18.24"," 0","Congo Rep"
" 1993","21.09"," 17.93"," 0","Congo Rep"
" 1994"," 22.2","17.6"," 0","Congo Rep"
" 1995"," 23.3"," 17.27"," 0","Congo Rep"
" 1996"," 24.4"," 16.93"," 0","Congo Rep"
" 1997","25.48"," 16.57"," 0","Congo Rep"
" 1998","26.54"," 16.19"," 0","Congo Rep"
" 1999","27.58"," 15.79"," 0","Congo Rep"
" 2000","28.61"," 15.38"," 0","Congo Rep"
" 2001","29.63"," 14.95"," 0","Congo Rep"
" 2002","30.65"," 14.52"," 0","Congo Rep"
" 2003","31.65"," 14.09"," 0","Congo Rep"
" 2004","32.66"," 13.67"," 0","Congo Rep"
" 2005"," 33.8","14.8","50.8","Congo Rep"
" 2006"," 34.7"," 12.88"," 48.39","Congo Rep"
" 2007","35.73"," 12.51"," 50.03","Congo Rep"
" 2008","36.78"," 12.18"," 51.64","Congo Rep"
" 2009"," 37.1"," 9.4","53.6","Congo Rep"
" 2010","38.89"," 11.55"," 54.79","Congo Rep"
" 2011","39.95"," 11.25"," 56.33","Congo Rep"
" 2012","41.6"," 11.7"," 58.9","Congo Rep"
" 2013"," 42.09","10.68","59.35","Congo Rep"
" 2014"," 43.16"," 10.4","60.84","Congo Rep"
" 1990","95.33","96.5"," 0","Cook Islands"
" 1991","95.58"," 96.69"," 0","Cook Islands"
" 1992","95.83"," 96.87"," 0","Cook Islands"
" 1993","96.08"," 97.06"," 0","Cook Islands"
" 1994","96.33"," 97.23"," 0","Cook Islands"
" 1995","96.56","97.4"," 0","Cook Islands"
" 1996","96.79"," 97.55"," 0","Cook Islands"
" 1997","97","97.69"," 0","Cook Islands"
" 1998","97.19"," 97.81"," 0","Cook Islands"
" 1999","97.37"," 97.91"," 0","Cook Islands"
" 2000","97.53"," 97.99"," 0","Cook Islands"
" 2001","97.69"," 98.06"," 0","Cook Islands"
" 2002","97.83"," 98.13"," 0","Cook Islands"
" 2003","97.97","98.2"," 0","Cook Islands"
" 2004","98.11"," 98.28"," 0","Cook Islands"
" 2005","98.26"," 98.37"," 0","Cook Islands"
" 2006","98.61"," 98.88"," 98.48","Cook Islands"
" 2007","98.58"," 98.62","100","Cook Islands"
" 2008","98.75"," 98.77"," 98.86","Cook Islands"
" 2009","98.94"," 98.95"," 99.95","Cook Islands"
" 2010","99.13"," 99.14","100","Cook Islands"
" 2011","99.27"," 99.34"," 99.24","Cook Islands"
" 2012"," 99.52","99.56"," 100","Cook Islands"
" 2013"," 99.73","99.77"," 100","Cook Islands"
" 2014"," 99.93","99.98"," 100","Cook Islands"
" 1990","97.24"," 94.86"," 0","Costa Rica"
" 1991"," 97.4"," 95.08"," 0","Costa Rica"
" 1992","97.57","95.3"," 0","Costa Rica"
" 1993","97.73"," 95.51"," 0","Costa Rica"
" 1994","97.88"," 95.73"," 0","Costa Rica"
" 1995","98.03"," 95.93"," 0","Costa Rica"
" 1996","98.16"," 96.12"," 0","Costa Rica"
" 1997","98.29"," 96.29"," 0","Costa Rica"
" 1998","98.39"," 96.44"," 0","Costa Rica"
" 1999","98.48"," 96.58"," 0","Costa Rica"
" 2000","98.55"," 96.69"," 0","Costa Rica"
" 2001","98.25"," 95.77"," 99.87","Costa Rica"
" 2002","98.51"," 96.47"," 99.86","Costa Rica"
" 2003"," 98.7","96.9"," 99.88","Costa Rica"
" 2004","98.95"," 97.59"," 99.85","Costa Rica"
" 2005","99.05","97.8"," 99.89","Costa Rica"
" 2006","99.15"," 97.96"," 99.93","Costa Rica"
" 2007","99.22"," 98.17"," 99.92","Costa Rica"
" 2008","99.26"," 98.28"," 99.92","Costa Rica"
" 2009","99.41"," 98.64"," 99.93","Costa Rica"
" 2010","99","97.73"," 99.75","Costa Rica"
" 2011","99.23"," 97.99"," 99.96","Costa Rica"
" 2012","99.5","98.69","99.98","Costa Rica"
" 2013"," 99.56","98.92","99.94","Costa Rica"
" 2014"," 99.36","98.41"," 99.7","Costa Rica"
" 1990","36.66"," 13.57"," 0","C%C3%B4te Divoire"
" 1991","37.79"," 14.57"," 0","C%C3%B4te Divoire"
" 1992","38.91"," 15.57"," 0","C%C3%B4te Divoire"
" 1993","40.04"," 16.57"," 0","C%C3%B4te Divoire"
" 1994"," 36.5","13.7","69.7","C%C3%B4te Divoire"
" 1995","42.27"," 18.53"," 76.13","C%C3%B4te Divoire"
" 1996","43.37","19.5","76.9","C%C3%B4te Divoire"
" 1997","44.46"," 20.45"," 77.66","C%C3%B4te Divoire"
" 1998","45.53"," 21.38"," 78.41","C%C3%B4te Divoire"
" 1999"," 48.2","22.5","85.9","C%C3%B4te Divoire"
" 2000","47.62"," 23.19","79.3","C%C3%B4te Divoire"
" 2001","48.64"," 24.07"," 79.67","C%C3%B4te Divoire"
" 2002"," 51.4"," 24.95"," 83.92","C%C3%B4te Divoire"
" 2003","50.68"," 25.83"," 80.43","C%C3%B4te Divoire"
" 2004"," 51.7"," 26.72"," 80.81","C%C3%B4te Divoire"
" 2005"," 58.9"," 37"," 86.4","C%C3%B4te Divoire"
" 2006","53.75"," 28.55","81.6","C%C3%B4te Divoire"
" 2007","54.79"," 29.49","81.9","C%C3%B4te Divoire"
" 2008","55.84"," 30.46"," 82.21","C%C3%B4te Divoire"
" 2009"," 56.9"," 31.45"," 82.55","C%C3%B4te Divoire"
" 2010","57.96"," 32.46"," 82.91","C%C3%B4te Divoire"
" 2011","59.04"," 33.47","83.3","C%C3%B4te Divoire"
" 2012","55.8","29","88.1","C%C3%B4te Divoire"
" 2013"," 61.19","35.52","84.17","C%C3%B4te Divoire"
" 2014","61.9","36.54","83.96","C%C3%B4te Divoire"
" 1990"," 100"," 100"," 100","Croatia"
" 1991"," 100"," 100"," 100","Croatia"
" 1992"," 100"," 100"," 100","Croatia"
" 1993"," 100"," 100"," 100","Croatia"
" 1994"," 100"," 100"," 100","Croatia"
" 1995"," 100"," 100"," 100","Croatia"
" 1996"," 100"," 100"," 100","Croatia"
" 1997"," 100"," 100"," 100","Croatia"
" 1998"," 100"," 100"," 100","Croatia"
" 1999"," 100"," 100"," 100","Croatia"
" 2000"," 100"," 100"," 100","Croatia"
" 2001"," 100"," 100"," 100","Croatia"
" 2002"," 100"," 100"," 100","Croatia"
" 2003"," 100"," 100"," 100","Croatia"
" 2004"," 100"," 100"," 100","Croatia"
" 2005"," 100"," 100"," 100","Croatia"
" 2006"," 100"," 100"," 100","Croatia"
" 2007"," 100"," 100"," 100","Croatia"
" 2008"," 100"," 100"," 100","Croatia"
" 2009"," 100"," 100"," 100","Croatia"
" 2010"," 100"," 100"," 100","Croatia"
" 2011"," 100"," 100"," 100","Croatia"
" 2012","100","100","100","Croatia"
" 2013","100","100","100","Croatia"
" 2014","100","100","100","Croatia"
" 1990","92.07"," 80.69"," 0","Cuba"
" 1991","92.59"," 81.45"," 0","Cuba"
" 1992","93.11"," 82.22"," 0","Cuba"
" 1993","93.63"," 82.98"," 0","Cuba"
" 1994","94.14"," 83.73"," 0","Cuba"
" 1995","94.65"," 84.47"," 0","Cuba"
" 1996","95.14","85.2"," 0","Cuba"
" 1997","95.62"," 85.92"," 0","Cuba"
" 1998","96.09"," 86.62"," 0","Cuba"
" 1999","96.54"," 87.29"," 0","Cuba"
" 2000","97"," 87.9","100","Cuba"
" 2001","97.39","88.6","100","Cuba"
" 2002"," 97.8"," 89.24","100","Cuba"
" 2003","98.21"," 89.89","100","Cuba"
" 2004","98.63"," 90.54","100","Cuba"
" 2005","99.04"," 91.21","100","Cuba"
" 2006","99.43","91.9","100","Cuba"
" 2007","99.73"," 92.61","100","Cuba"
" 2008","99.91"," 93.34","100","Cuba"
" 2009","99.98","94.1","100","Cuba"
" 2010"," 100","94.86","100","Cuba"
" 2011"," 100","95.64","100","Cuba"
" 2012","100"," 96.43"," 100","Cuba"
" 2013","100"," 97.22"," 100","Cuba"
" 2014","100"," 98.01"," 100","Cuba"
" 1990"," 100"," 100"," 100","Curacao"
" 1991"," 100"," 100"," 100","Curacao"
" 1992"," 100"," 100"," 100","Curacao"
" 1993"," 100"," 100"," 100","Curacao"
" 1994"," 100"," 100"," 100","Curacao"
" 1995"," 100"," 100"," 100","Curacao"
" 1996"," 100"," 100"," 100","Curacao"
" 1997"," 100"," 100"," 100","Curacao"
" 1998"," 100"," 100"," 100","Curacao"
" 1999"," 100"," 100"," 100","Curacao"
" 2000"," 100"," 100"," 100","Curacao"
" 2001"," 100"," 100"," 100","Curacao"
" 2002"," 100"," 100"," 100","Curacao"
" 2003"," 100"," 100"," 100","Curacao"
" 2004"," 100"," 100"," 100","Curacao"
" 2005"," 100"," 100"," 100","Curacao"
" 2006"," 100"," 100"," 100","Curacao"
" 2007"," 100"," 100"," 100","Curacao"
" 2008"," 100"," 100"," 100","Curacao"
" 2009"," 100"," 100"," 100","Curacao"
" 2010"," 100"," 100"," 100","Curacao"
" 2011"," 100"," 100"," 100","Curacao"
" 2012","100","100","100","Curacao"
" 2013","100","100","100","Curacao"
" 2014","100","100","100","Curacao"
" 1990"," 100"," 100"," 100","Cyprus"
" 1991"," 100"," 100"," 100","Cyprus"
" 1992"," 100"," 100"," 100","Cyprus"
" 1993"," 100"," 100"," 100","Cyprus"
" 1994"," 100"," 100"," 100","Cyprus"
" 1995"," 100"," 100"," 100","Cyprus"
" 1996"," 100"," 100"," 100","Cyprus"
" 1997"," 100"," 100"," 100","Cyprus"
" 1998"," 100"," 100"," 100","Cyprus"
" 1999"," 100"," 100"," 100","Cyprus"
" 2000"," 100"," 100"," 100","Cyprus"
" 2001"," 100"," 100"," 100","Cyprus"
" 2002"," 100"," 100"," 100","Cyprus"
" 2003"," 100"," 100"," 100","Cyprus"
" 2004"," 100"," 100"," 100","Cyprus"
" 2005"," 100"," 100"," 100","Cyprus"
" 2006"," 100"," 100"," 100","Cyprus"
" 2007"," 100"," 100"," 100","Cyprus"
" 2008"," 100"," 100"," 100","Cyprus"
" 2009"," 100"," 100"," 100","Cyprus"
" 2010"," 100"," 100"," 100","Cyprus"
" 2011"," 100"," 100"," 100","Cyprus"
" 2012","100","100","100","Cyprus"
" 2013","100","100","100","Cyprus"
" 2014","100","100","100","Cyprus"
" 1990"," 100"," 100"," 100","Czech Republic"
" 1991"," 100"," 100"," 100","Czech Republic"
" 1992"," 100"," 100"," 100","Czech Republic"
" 1993"," 100"," 100"," 100","Czech Republic"
" 1994"," 100"," 100"," 100","Czech Republic"
" 1995"," 100"," 100"," 100","Czech Republic"
" 1996"," 100"," 100"," 100","Czech Republic"
" 1997"," 100"," 100"," 100","Czech Republic"
" 1998"," 100"," 100"," 100","Czech Republic"
" 1999"," 100"," 100"," 100","Czech Republic"
" 2000"," 100"," 100"," 100","Czech Republic"
" 2001"," 100"," 100"," 100","Czech Republic"
" 2002"," 100"," 100"," 100","Czech Republic"
" 2003"," 100"," 100"," 100","Czech Republic"
" 2004"," 100"," 100"," 100","Czech Republic"
" 2005"," 100"," 100"," 100","Czech Republic"
" 2006"," 100"," 100"," 100","Czech Republic"
" 2007"," 100"," 100"," 100","Czech Republic"
" 2008"," 100"," 100"," 100","Czech Republic"
" 2009"," 100"," 100"," 100","Czech Republic"
" 2010"," 100"," 100"," 100","Czech Republic"
" 2011"," 100"," 100"," 100","Czech Republic"
" 2012","100","100","100","Czech Republic"
" 2013","100","100","100","Czech Republic"
" 2014","100","100","100","Czech Republic"
" 1990"," 100"," 100"," 100","Denmark"
" 1991"," 100"," 100"," 100","Denmark"
" 1992"," 100"," 100"," 100","Denmark"
" 1993"," 100"," 100"," 100","Denmark"
" 1994"," 100"," 100"," 100","Denmark"
" 1995"," 100"," 100"," 100","Denmark"
" 1996"," 100"," 100"," 100","Denmark"
" 1997"," 100"," 100"," 100","Denmark"
" 1998"," 100"," 100"," 100","Denmark"
" 1999"," 100"," 100"," 100","Denmark"
" 2000"," 100"," 100"," 100","Denmark"
" 2001"," 100"," 100"," 100","Denmark"
" 2002"," 100"," 100"," 100","Denmark"
" 2003"," 100"," 100"," 100","Denmark"
" 2004"," 100"," 100"," 100","Denmark"
" 2005"," 100"," 100"," 100","Denmark"
" 2006"," 100"," 100"," 100","Denmark"
" 2007"," 100"," 100"," 100","Denmark"
" 2008"," 100"," 100"," 100","Denmark"
" 2009"," 100"," 100"," 100","Denmark"
" 2010"," 100"," 100"," 100","Denmark"
" 2011"," 100"," 100"," 100","Denmark"
" 2012","100","100","100","Denmark"
" 2013","100","100","100","Denmark"
" 2014","100","100","100","Denmark"
" 1990","63.36"," 10.61"," 0","Djibouti"
" 1991","62.73"," 10.64"," 0","Djibouti"
" 1992","62.09"," 10.67"," 0","Djibouti"
" 1993","61.46","10.7"," 0","Djibouti"
" 1994","60.82"," 10.73"," 0","Djibouti"
" 1995","60.17"," 10.74"," 0","Djibouti"
" 1996","62"," 11.1"," 0","Djibouti"
" 1997","58.84"," 10.73","73.7","Djibouti"
" 1998","58.15","10.7"," 72.77","Djibouti"
" 1999","57.44"," 10.64"," 71.83","Djibouti"
" 2000","56.72"," 10.57"," 70.87","Djibouti"
" 2001","55.98"," 10.49","69.9","Djibouti"
" 2002"," 49.7","10.2","56.9","Djibouti"
" 2003"," 54.5"," 10.32"," 67.94","Djibouti"
" 2004","53.76"," 10.25"," 66.96","Djibouti"
" 2005","53.02"," 10.18"," 65.98","Djibouti"
" 2006"," 55.5"," 9.9","62.4","Djibouti"
" 2007","51.57"," 10.12"," 64.05","Djibouti"
" 2008","50.86"," 10.13"," 63.09","Djibouti"
" 2009","50.16"," 10.15"," 62.14","Djibouti"
" 2010","49.46"," 10.19","61.2","Djibouti"
" 2011","48.78"," 10.24"," 60.25","Djibouti"
" 2012"," 48.09"," 10.3","59.31","Djibouti"
" 2013"," 47.41","10.36","58.36","Djibouti"
" 2014"," 46.73","10.42","57.41","Djibouti"
" 1990","65.47"," 0"," 0","Dominica"
" 1991","67.02"," 0"," 0","Dominica"
" 1992","68.57"," 0"," 0","Dominica"
" 1993","70.12"," 0"," 0","Dominica"
" 1994","71.67"," 0"," 0","Dominica"
" 1995"," 73.2"," 0"," 0","Dominica"
" 1996","74.73"," 0"," 0","Dominica"
" 1997","76.24"," 0"," 0","Dominica"
" 1998","75","0"," 0","Dominica"
" 1999","79.21"," 0"," 0","Dominica"
" 2000","80.68"," 0"," 0","Dominica"
" 2001","82.13"," 0"," 0","Dominica"
" 2002"," 87.7"," 0"," 0","Dominica"
" 2003","85.01"," 0"," 0","Dominica"
" 2004","86.45"," 0"," 0","Dominica"
" 2005"," 87.9"," 0"," 0","Dominica"
" 2006","89.35"," 0"," 0","Dominica"
" 2007","90.82"," 0"," 0","Dominica"
" 2008"," 90.9"," 0"," 0","Dominica"
" 2009","93.78"," 0"," 0","Dominica"
" 2010","95.27"," 0"," 0","Dominica"
" 2011","96.77"," 0"," 0","Dominica"
" 2012"," 98.11"," 0"," 0","Dominica"
" 2013"," 99.19"," 0"," 0","Dominica"
" 2014","100","0"," 0","Dominica"
" 1990","79.11"," 53.15"," 0","Dominican Republic"
" 1991"," 78.2","48.4","96.5","Dominican Republic"
" 1992","81"," 57.2"," 99.88","Dominican Republic"
" 1993","81.94"," 59.23"," 99.76","Dominican Republic"
" 1994","82.88"," 61.24"," 99.37","Dominican Republic"
" 1995","83.81"," 63.25"," 98.94","Dominican Republic"
" 1996","84.72"," 65.24"," 98.58","Dominican Republic"
" 1997","85.63"," 67.22"," 98.28","Dominican Republic"
" 1998","86.51"," 69.18"," 98.02","Dominican Republic"
" 1999","91"," 76.6","98.9","Dominican Republic"
" 2000","88.76"," 73.79"," 96.57","Dominican Republic"
" 2001","89.79"," 76.37"," 96.95","Dominican Republic"
" 2002","89.75"," 76.72"," 96.67","Dominican Republic"
" 2003","89.17","78.6"," 95.04","Dominican Republic"
" 2004","90.32"," 80.45"," 95.52","Dominican Republic"
" 2005","90.14","80.8"," 95.18","Dominican Republic"
" 2006","90.12"," 81.99"," 94.39","Dominican Republic"
" 2007","96.88"," 91.85"," 99.61","Dominican Republic"
" 2008","97.58"," 93.31"," 99.57","Dominican Republic"
" 2009","97.86","93.9"," 99.73","Dominican Republic"
" 2010","98.15"," 94.68"," 99.77","Dominican Republic"
" 2011"," 97.9"," 94.01"," 99.72","Dominican Republic"
" 2012"," 97.87","94.21","99.65","Dominican Republic"
" 2013"," 98.39","95.23","99.88","Dominican Republic"
" 2014"," 98.47","95.64","99.86","Dominican Republic"
" 1990","88.81"," 72.81"," 0","Ecuador"
" 1991"," 89.3"," 73.84"," 0","Ecuador"
" 1992","89.78"," 74.87"," 0","Ecuador"
" 1993","90.26"," 75.89"," 0","Ecuador"
" 1994","90.74"," 76.91"," 0","Ecuador"
" 1995","89.83"," 74.88"," 97.91","Ecuador"
" 1996","91.66"," 78.91","100","Ecuador"
" 1997","92.11"," 79.89","100","Ecuador"
" 1998","92.73"," 81.98"," 99.63","Ecuador"
" 1999","93.07"," 82.36"," 99.29","Ecuador"
" 2000","93.34"," 82.71","100","Ecuador"
" 2001","93.72"," 83.62","100","Ecuador"
" 2002","94.09"," 84.53","100","Ecuador"
" 2003","94.97"," 85.87"," 99.29","Ecuador"
" 2004","94.84"," 86.36","100","Ecuador"
" 2005","95.83"," 87.72"," 99.67","Ecuador"
" 2006","96.32"," 89.44"," 99.53","Ecuador"
" 2007","96.81","90.7"," 99.63","Ecuador"
" 2008","97.21"," 92.14"," 99.59","Ecuador"
" 2009","96.47"," 91.16"," 98.98","Ecuador"
" 2010","97.46"," 92.66"," 99.72","Ecuador"
" 2011","96.87"," 91.16"," 99.78","Ecuador"
" 2012"," 97.19","92.33","99.63","Ecuador"
" 2013"," 98.03","94.73","99.55","Ecuador"
" 2014"," 98.98","97.05","99.83","Ecuador"
" 1990"," 93.8"," 89.13","0","Egypt"
" 1991","94.17"," 89.72","0","Egypt"
" 1992"," 93.4","87.9","98.4","Egypt"
" 1993","94.91","90.9","100","Egypt"
" 1994","95.27"," 91.48","100","Egypt"
" 1995"," 95.5","91.9"," 99","Egypt"
" 1996","95.97"," 92.61","100","Egypt"
" 1997"," 96.3"," 93.16","100","Egypt"
" 1998","96.62"," 93.68","100","Egypt"
" 1999","96.91"," 94.18","100","Egypt"
" 2000"," 97.7","95.9","99.5","Egypt"
" 2001","97.46"," 95.14","100","Egypt"
" 2002","97.73"," 95.62","100","Egypt"
" 2003"," 98.8","97.8","99.7","Egypt"
" 2004","98.25"," 96.57","100","Egypt"
" 2005"," 99.4","99.1","99.8","Egypt"
" 2006","99.04"," 97.58","100","Egypt"
" 2007","99.08"," 98.14","100","Egypt"
" 2008"," 99.8","99.3","99.9","Egypt"
" 2009","99.64"," 99.22","100","Egypt"
" 2010","99.84"," 99.63","100","Egypt"
" 2011","99.95"," 99.88","100","Egypt"
" 2012"," 99.99","99.98"," 100","Egypt"
" 2013","100","100","100","Egypt"
" 2014","99.8"," 99.8","99.9","Egypt"
" 1990","72.17"," 42.77"," 0","El Salvador"
" 1991","69.61"," 43.53"," 93.62","El Salvador"
" 1992","74.34"," 46.92","100","El Salvador"
" 1993","75.42"," 48.99","100","El Salvador"
" 1994"," 76.5"," 51.05"," 99.36","El Salvador"
" 1995","77","51.43"," 94.98","El Salvador"
" 1996","77.88"," 53.22"," 95.23","El Salvador"
" 1997","79.67"," 57.18"," 96.97","El Salvador"
" 1998","81.64"," 58.63"," 95.73","El Salvador"
" 1999","79.13"," 56.23"," 93.06","El Salvador"
" 2000","84.52"," 65.17","96.1","El Salvador"
" 2001","87.06"," 70.07"," 97.11","El Salvador"
" 2002","87.55"," 71.06"," 97.27","El Salvador"
" 2003","86.96"," 71.22","96.5","El Salvador"
" 2004","87.36","71.9"," 96.48","El Salvador"
" 2005","87.53"," 72.17"," 96.46","El Salvador"
" 2006"," 89.2"," 75.65","97.2","El Salvador"
" 2007","91.11"," 79.51"," 97.08","El Salvador"
" 2008","91","79.39"," 96.49","El Salvador"
" 2009","91.08"," 80.33"," 96.57","El Salvador"
" 2010","91.58","81.5"," 96.87","El Salvador"
" 2011","92.57"," 83.82"," 97.23","El Salvador"
" 2012"," 93.68","85.67","97.85","El Salvador"
" 2013"," 95.04","90"," 97.76","El Salvador"
" 2014"," 95.13","90.26","97.79","El Salvador"
" 1990","54.83"," 29.56"," 0","Equatorial Guinea"
" 1991","55.42"," 30.24"," 0","Equatorial Guinea"
" 1992","56.02"," 30.92"," 0","Equatorial Guinea"
" 1993"," 56.6"," 31.59"," 0","Equatorial Guinea"
" 1994","57.19"," 32.26"," 0","Equatorial Guinea"
" 1995","57.76"," 32.92"," 0","Equatorial Guinea"
" 1996","58.32"," 33.56"," 0","Equatorial Guinea"
" 1997","58.87"," 34.19"," 0","Equatorial Guinea"
" 1998","59.41","34.8"," 0","Equatorial Guinea"
" 1999","59.92"," 35.39"," 0","Equatorial Guinea"
" 2000","60.43"," 35.97"," 0","Equatorial Guinea"
" 2001","60.91"," 36.53"," 0","Equatorial Guinea"
" 2002"," 61.4"," 37.09"," 0","Equatorial Guinea"
" 2003","61.88"," 37.65"," 0","Equatorial Guinea"
" 2004","62.36"," 38.22"," 0","Equatorial Guinea"
" 2005","62.84","38.8"," 0","Equatorial Guinea"
" 2006","63.33","39.4"," 0","Equatorial Guinea"
" 2007","63.84"," 40.03"," 0","Equatorial Guinea"
" 2008","64.35"," 40.68"," 0","Equatorial Guinea"
" 2009","64.88"," 41.35"," 0","Equatorial Guinea"
" 2010","65.41"," 42.03"," 0","Equatorial Guinea"
" 2011"," 66.1"," 43"," 93.1","Equatorial Guinea"
" 2012"," 66.48","43.43"," 100","Equatorial Guinea"
" 2013"," 67.02","44.13"," 100","Equatorial Guinea"
" 2014"," 67.56","44.84"," 100","Equatorial Guinea"
" 1990","17.06","0.09"," 0","Eritrea"
" 1991","18.32","0.43"," 0","Eritrea"
" 1992","19.58","0.76"," 0","Eritrea"
" 1993","20.84"," 1.1"," 0","Eritrea"
" 1994","22.09","1.42"," 0","Eritrea"
" 1995"," 22.9"," 2.1","80.6","Eritrea"
" 1996","24.56","2.04","100","Eritrea"
" 1997","25.78","2.33","100","Eritrea"
" 1998","26.98"," 2.6","100","Eritrea"
" 1999","28.17","2.85","100","Eritrea"
" 2000","29.34","3.08","100","Eritrea"
" 2001"," 30.5","3.31","100","Eritrea"
" 2002"," 32.2","3"," 78.3","Eritrea"
" 2003","32.79","3.74","100","Eritrea"
" 2004","33.94","3.97","100","Eritrea"
" 2005"," 35.1","4.21","100","Eritrea"
" 2006","36.26","4.47","100","Eritrea"
" 2007","37.43","4.76","100","Eritrea"
" 2008","38.61","5.07","100","Eritrea"
" 2009"," 39.8","5.39","100","Eritrea"
" 2010","41"," 5.73","100","Eritrea"
" 2011","42.21","6.09","100","Eritrea"
" 2012"," 43.41"," 6.45"," 100","Eritrea"
" 2013"," 44.62"," 6.81"," 100","Eritrea"
" 2014"," 45.83"," 7.18"," 100","Eritrea"
" 1990"," 100"," 100"," 100","Estonia"
" 1991"," 100"," 100"," 100","Estonia"
" 1992"," 100"," 100"," 100","Estonia"
" 1993"," 100"," 100"," 100","Estonia"
" 1994"," 100"," 100"," 100","Estonia"
" 1995"," 100"," 100"," 100","Estonia"
" 1996"," 100"," 100"," 100","Estonia"
" 1997"," 100"," 100"," 100","Estonia"
" 1998"," 100"," 100"," 100","Estonia"
" 1999"," 100"," 100"," 100","Estonia"
" 2000"," 100"," 100"," 100","Estonia"
" 2001"," 100"," 100"," 100","Estonia"
" 2002"," 100"," 100"," 100","Estonia"
" 2003"," 100"," 100"," 100","Estonia"
" 2004"," 100"," 100"," 100","Estonia"
" 2005"," 100"," 100"," 100","Estonia"
" 2006"," 100"," 100"," 100","Estonia"
" 2007"," 100"," 100"," 100","Estonia"
" 2008"," 100"," 100"," 100","Estonia"
" 2009"," 100"," 100"," 100","Estonia"
" 2010"," 100"," 100"," 100","Estonia"
" 2011"," 100"," 100"," 100","Estonia"
" 2012","100","100","100","Estonia"
" 2013","100","100","100","Estonia"
" 2014","100","100","100","Estonia"
" 1990"," 0"," 0","0","Ethiopia"
" 1991"," 1.14","0","0","Ethiopia"
" 1992"," 2.29","0","0","Ethiopia"
" 1993"," 3.45","0","0","Ethiopia"
" 1994"," 4.59","0","0","Ethiopia"
" 1995"," 5.73","0","0","Ethiopia"
" 1996"," 6.86","0","0","Ethiopia"
" 1997"," 7.98","0","0","Ethiopia"
" 1998"," 9.08","0.01"," 0","Ethiopia"
" 1999","10.16","0.02"," 0","Ethiopia"
" 2000"," 12.7"," 0.4","76.2","Ethiopia"
" 2001","12.28","0.35"," 80.32","Ethiopia"
" 2002","13.33","0.71"," 84.17","Ethiopia"
" 2003","14.38","1.39"," 86.19","Ethiopia"
" 2004","15.42","2.08"," 88.12","Ethiopia"
" 2005","14","1.9","85.7","Ethiopia"
" 2006","17.53"," 3.5"," 91.72","Ethiopia"
" 2007"," 18.6","4.25"," 93.29","Ethiopia"
" 2008","19.68","5.02"," 93.82","Ethiopia"
" 2009","20.77"," 5.8"," 94.29","Ethiopia"
" 2010","21.86","6.61","94.7","Ethiopia"
" 2011","23","4.8","85.2","Ethiopia"
" 2012"," 24.07"," 8.24","95.41","Ethiopia"
" 2013"," 25.18"," 9.06","95.73","Ethiopia"
" 2014","27.2"," 12.2","91.98","Ethiopia"
" 1990"," 100"," 100"," 100","Faeroe Islands"
" 1991"," 100"," 100"," 100","Faeroe Islands"
" 1992"," 100"," 100"," 100","Faeroe Islands"
" 1993"," 100"," 100"," 100","Faeroe Islands"
" 1994"," 100"," 100"," 100","Faeroe Islands"
" 1995"," 100"," 100"," 100","Faeroe Islands"
" 1996"," 100"," 100"," 100","Faeroe Islands"
" 1997"," 100"," 100"," 100","Faeroe Islands"
" 1998"," 100"," 100"," 100","Faeroe Islands"
" 1999"," 100"," 100"," 100","Faeroe Islands"
" 2000"," 100"," 100"," 100","Faeroe Islands"
" 2001"," 100"," 100"," 100","Faeroe Islands"
" 2002"," 100"," 100"," 100","Faeroe Islands"
" 2003"," 100"," 100"," 100","Faeroe Islands"
" 2004"," 100"," 100"," 100","Faeroe Islands"
" 2005"," 100"," 100"," 100","Faeroe Islands"
" 2006"," 100"," 100"," 100","Faeroe Islands"
" 2007"," 100"," 100"," 100","Faeroe Islands"
" 2008"," 100"," 100"," 100","Faeroe Islands"
" 2009"," 100"," 100"," 100","Faeroe Islands"
" 2010"," 100"," 100"," 100","Faeroe Islands"
" 2011"," 100"," 100"," 100","Faeroe Islands"
" 2012","100","100","100","Faeroe Islands"
" 2013","100","100","100","Faeroe Islands"
" 2014","100","100","100","Faeroe Islands"
" 1990","0"," 0"," 0","Falkland Islands Malvinas"
" 1991","0"," 0"," 0","Falkland Islands Malvinas"
" 1992","0"," 0"," 0","Falkland Islands Malvinas"
" 1993","0"," 0"," 0","Falkland Islands Malvinas"
" 1994","0"," 0"," 0","Falkland Islands Malvinas"
" 1995","0"," 0"," 0","Falkland Islands Malvinas"
